mr,ref
"day[3 1], month[3], year[2019]","It is the thirty first of March in the year 2019 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 2], month[7], year[2008]","The date is the second of July , 2008 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[2 5], month[10], year[2020]","The date is the twenty fifth of October , 2020 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[0 4], month[2], year[2018]","It is February the fourth of the year 2018 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 8], month[12], year[2000]","Today is December eighteen in the year 2000 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 7], month[11], year[2000]","It is the seventh of November in the year 2000 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 2], month[8], year[2010]","Today is August the twenty second of the year 2010 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 3], month[4], year[2015]","The date is April twenty three in the year 2015 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[0 8], month[8], year[2019]","The date is August eight , 2019 .","-1 -1 -1 2 0 4 3 -1"
"day[3 0], month[5], year[2014]","The date is thirty May 2014 .","-1 -1 -1 0 2 3 -1"
"day[2 5], month[1], year[2020]","Today is the twenty fifth of January in the year 2020 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[1 2], month[8], year[2009]","Today is twelve August 2009 .","-1 -1 0 2 3 -1"
"day[1 3], month[2], year[2015]","Today is thirteen February 2015 .","-1 -1 0 2 3 -1"
"day[1 1], month[10], year[2011]","Today is October eleven in the year 2011 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 0], month[6], year[2010]","Today is June ten , 2010 .","-1 -1 2 0 4 3 -1"
"day[2 8], month[10], year[2006]","The date is the twenty eighth of October , 2006 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[3 1], month[2], year[2006]","Today is the thirty first of February , 2006 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[3 0], month[10], year[2016]","Today is October the thirtieth of the year 2016 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 6], month[4], year[2002]","It is April the sixth of the year 2002 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 1], month[10], year[2008]","Today is one October of the year 2008 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 2], month[2], year[2008]","The date is the twenty second of February , 2008 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 2], month[4], year[2001]","The date is April the twelfth of the year 2001 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 1], month[3], year[2020]","The date is March eleven in the year 2020 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[2 8], month[3], year[2006]","It is March the twenty eighth of the year 2006 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[0 9], month[12], year[2002]","The date is December nine in the year 2002 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[2 3], month[8], year[2009]","It is August twenty three , 2009 .","-1 -1 2 0 0 4 3 -1"
"day[2 6], month[7], year[2014]","Today is July the twenty sixth , 2014 .","-1 -1 2 -1 1 1 4 3 -1"
"day[1 1], month[7], year[2017]","It is July the eleventh , 2017 .","-1 -1 2 -1 1 4 3 -1"
"day[1 8], month[2], year[2007]","Today is eighteen February 2007 .","-1 -1 0 2 3 -1"
"day[0 5], month[4], year[2007]","The date is April the fifth , 2007 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[2 4], month[6], year[2001]","The date is the twenty fourth of June , 2001 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 9], month[6], year[2012]","It is nineteen June of the year 2012 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[3 1], month[2], year[2006]","Today is February the thirty first , 2006 .","-1 -1 2 -1 1 1 4 3 -1"
"day[0 4], month[12], year[2013]","Today is December the fourth of the year 2013 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 4], month[7], year[2010]","The date is four July 2010 .","-1 -1 -1 0 2 3 -1"
"day[0 4], month[4], year[2017]","It is four April 2017 .","-1 -1 0 2 3 -1"
"day[2 0], month[6], year[2009]","The date is the twentieth of June , 2009 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[2 0], month[5], year[2017]","The date is twenty May 2017 .","-1 -1 -1 0 2 3 -1"
"day[2 7], month[4], year[2004]","Today is the twenty seventh of April , 2004 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[0 7], month[10], year[2015]","The date is October the seventh , 2015 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[1 9], month[11], year[2011]","It is the nineteenth of November , 2011 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 0], month[2], year[2000]","Today is February twenty , 2000 .","-1 -1 2 0 4 3 -1"
"day[2 8], month[4], year[2014]","The date is April twenty eight in the year 2014 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 1], month[6], year[2013]","It is the eleventh of June in the year 2013 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 6], month[2], year[2014]","Today is sixteen February 2014 .","-1 -1 0 2 3 -1"
"day[2 0], month[3], year[2020]","It is March the twentieth , 2020 .","-1 -1 2 -1 1 4 3 -1"
"day[3 0], month[5], year[2002]","It is May thirty , 2002 .","-1 -1 2 0 4 3 -1"
"day[1 0], month[9], year[2018]","It is the tenth of September in the year 2018 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 8], month[10], year[2018]","The date is the eighteenth of October , 2018 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[2 3], month[1], year[2017]","The date is January twenty three , 2017 .","-1 -1 -1 2 0 0 4 3 -1"
"day[2 7], month[1], year[2004]","It is January the twenty seventh , 2004 .","-1 -1 2 -1 1 1 4 3 -1"
"day[0 4], month[3], year[2020]","It is March the fourth of the year 2020 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[3 1], month[11], year[2000]","It is thirty one November of the year 2000 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[0 7], month[11], year[2006]","Today is November seven , 2006 .","-1 -1 2 0 4 3 -1"
"day[1 3], month[9], year[2008]","The date is September the thirteenth , 2008 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[1 8], month[8], year[2014]","It is the eighteenth of August in the year 2014 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 8], month[11], year[2007]","Today is the eighteenth of November , 2007 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 5], month[11], year[2006]","Today is November fifteen in the year 2006 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 1], month[10], year[2002]","It is October the first of the year 2002 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 9], month[1], year[2020]","The date is the twenty ninth of January , 2020 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 9], month[2], year[2008]","Today is twenty nine February 2008 .","-1 -1 0 0 2 3 -1"
"day[1 2], month[5], year[2009]","Today is May the twelfth of the year 2009 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 4], month[11], year[2003]","The date is the fourteenth of November in the year 2003 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 5], month[8], year[2006]","Today is August the fifth , 2006 .","-1 -1 2 -1 1 4 3 -1"
"day[2 3], month[7], year[2008]","The date is July the twenty third of the year 2008 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 8], month[4], year[2013]","The date is April the twenty eighth , 2013 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[2 0], month[7], year[2015]","The date is July twenty , 2015 .","-1 -1 -1 2 0 4 3 -1"
"day[3 1], month[8], year[2001]","Today is thirty one August 2001 .","-1 -1 0 0 2 3 -1"
"day[3 0], month[8], year[2002]","It is thirty August 2002 .","-1 -1 0 2 3 -1"
"day[3 0], month[4], year[2008]","Today is the thirtieth of April , 2008 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 8], month[2], year[2019]","Today is eight February of the year 2019 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[3 0], month[7], year[2020]","Today is July the thirtieth , 2020 .","-1 -1 2 -1 1 4 3 -1"
"day[0 2], month[8], year[2010]","Today is August the second , 2010 .","-1 -1 2 -1 1 4 3 -1"
"day[1 3], month[9], year[2007]","It is the thirteenth of September , 2007 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 5], month[5], year[2008]","It is May twenty five in the year 2008 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[0 9], month[2], year[2013]","Today is nine February 2013 .","-1 -1 0 2 3 -1"
"day[0 2], month[5], year[2007]","Today is the second of May in the year 2007 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 6], month[2], year[2014]","Today is February sixteen , 2014 .","-1 -1 2 0 4 3 -1"
"day[2 8], month[8], year[2001]","The date is twenty eight August 2001 .","-1 -1 -1 0 0 2 3 -1"
"day[2 8], month[3], year[2007]","The date is March twenty eight in the year 2007 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[3 0], month[9], year[2007]","Today is the thirtieth of September , 2007 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 7], month[8], year[2019]","The date is the seventeenth of August , 2019 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[2 6], month[12], year[2018]","Today is December twenty six , 2018 .","-1 -1 2 0 0 4 3 -1"
"day[2 5], month[10], year[2013]","Today is October the twenty fifth , 2013 .","-1 -1 2 -1 1 1 4 3 -1"
"day[1 8], month[12], year[2016]","The date is December eighteen , 2016 .","-1 -1 -1 2 0 4 3 -1"
"day[2 6], month[10], year[2019]","It is October the twenty sixth , 2019 .","-1 -1 2 -1 1 1 4 3 -1"
"day[1 0], month[2], year[2007]","It is February ten in the year 2007 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 3], month[1], year[2014]","The date is January twenty three in the year 2014 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 3], month[1], year[2009]","It is the thirteenth of January in the year 2009 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 0], month[2], year[2008]","Today is the tenth of February in the year 2008 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 6], month[4], year[2012]","The date is sixteen April of the year 2012 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[0 9], month[12], year[2017]","Today is December nine , 2017 .","-1 -1 2 0 4 3 -1"
"day[1 0], month[12], year[2018]","Today is December ten , 2018 .","-1 -1 2 0 4 3 -1"
"day[2 2], month[11], year[2005]","The date is twenty two November of the year 2005 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[0 1], month[10], year[2008]","The date is the first of October , 2008 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[3 0], month[12], year[2019]","Today is December the thirtieth of the year 2019 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 7], month[1], year[2014]","It is seven January 2014 .","-1 -1 0 2 3 -1"
"day[0 8], month[8], year[2010]","The date is August eight in the year 2010 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[0 1], month[9], year[2016]","Today is one September 2016 .","-1 -1 0 2 3 -1"
"day[2 6], month[10], year[2020]","It is October the twenty sixth , 2020 .","-1 -1 2 -1 1 1 4 3 -1"
"day[2 8], month[6], year[2009]","Today is the twenty eighth of June in the year 2009 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 1], month[12], year[2008]","It is December one in the year 2008 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 8], month[9], year[2003]","The date is September twenty eight in the year 2003 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 7], month[7], year[2005]","The date is twenty seven July 2005 .","-1 -1 -1 0 0 2 3 -1"
"day[0 9], month[2], year[2017]","It is February nine in the year 2017 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 4], month[9], year[2019]","Today is four September of the year 2019 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[3 0], month[9], year[2017]","It is the thirtieth of September in the year 2017 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 6], month[12], year[2020]","Today is the sixteenth of December in the year 2020 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 3], month[9], year[2003]","It is three September of the year 2003 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 6], month[9], year[2001]","The date is six September of the year 2001 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[1 1], month[7], year[2000]","It is July eleven , 2000 .","-1 -1 2 0 4 3 -1"
"day[2 5], month[7], year[2008]","Today is July twenty five in the year 2008 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 6], month[12], year[2001]","It is December twenty six in the year 2001 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 1], month[3], year[2000]","It is March the eleventh of the year 2000 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 7], month[2], year[2012]","The date is seventeen February of the year 2012 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[0 8], month[2], year[2002]","The date is February eight , 2002 .","-1 -1 -1 2 0 4 3 -1"
"day[1 7], month[8], year[2006]","Today is August seventeen in the year 2006 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 2], month[2], year[2018]","It is twenty two February of the year 2018 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[2 2], month[8], year[2003]","Today is August the twenty second , 2003 .","-1 -1 2 -1 1 1 4 3 -1"
"day[3 1], month[8], year[2003]","It is August thirty one , 2003 .","-1 -1 2 0 0 4 3 -1"
"day[2 9], month[1], year[2001]","The date is January twenty nine in the year 2001 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 4], month[11], year[2001]","It is November twenty four , 2001 .","-1 -1 2 0 0 4 3 -1"
"day[3 0], month[9], year[2012]","The date is thirty September 2012 .","-1 -1 -1 0 2 3 -1"
"day[1 7], month[10], year[2019]","Today is October seventeen , 2019 .","-1 -1 2 0 4 3 -1"
"day[2 9], month[4], year[2013]","Today is April the twenty ninth , 2013 .","-1 -1 2 -1 1 1 4 3 -1"
"day[1 8], month[3], year[2017]","The date is the eighteenth of March , 2017 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[0 9], month[7], year[2000]","Today is July the ninth of the year 2000 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[3 1], month[7], year[2015]","Today is July thirty one , 2015 .","-1 -1 2 0 0 4 3 -1"
"day[0 4], month[1], year[2018]","Today is four January 2018 .","-1 -1 0 2 3 -1"
"day[2 9], month[3], year[2000]","It is twenty nine March of the year 2000 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[1 5], month[11], year[2013]","The date is November the fifteenth of the year 2013 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 3], month[3], year[2015]","Today is March three , 2015 .","-1 -1 2 0 4 3 -1"
"day[1 2], month[4], year[2002]","The date is twelve April of the year 2002 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[1 0], month[5], year[2020]","Today is May the tenth of the year 2020 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 1], month[3], year[2019]","The date is twenty one March 2019 .","-1 -1 -1 0 0 2 3 -1"
"day[2 6], month[3], year[2000]","It is twenty six March of the year 2000 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[2 3], month[9], year[2013]","Today is the twenty third of September , 2013 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 5], month[2], year[2013]","Today is the fifteenth of February in the year 2013 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 2], month[6], year[2001]","Today is June the twelfth , 2001 .","-1 -1 2 -1 1 4 3 -1"
"day[3 0], month[11], year[2005]","It is November the thirtieth , 2005 .","-1 -1 2 -1 1 4 3 -1"
"day[1 5], month[1], year[2018]","Today is January fifteen in the year 2018 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 8], month[8], year[2016]","The date is August twenty eight , 2016 .","-1 -1 -1 2 0 0 4 3 -1"
"day[2 0], month[3], year[2016]","Today is twenty March of the year 2016 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 7], month[2], year[2012]","The date is the seventeenth of February , 2012 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[1 2], month[7], year[2000]","It is July the twelfth of the year 2000 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 2], month[2], year[2018]","It is the second of February , 2018 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 8], month[5], year[2011]","The date is May twenty eight , 2011 .","-1 -1 -1 2 0 0 4 3 -1"
"day[1 2], month[6], year[2002]","It is June the twelfth of the year 2002 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 2], month[8], year[2003]","Today is the twelfth of August in the year 2003 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 9], month[5], year[2000]","Today is May nine in the year 2000 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 2], month[10], year[2006]","The date is October twelve , 2006 .","-1 -1 -1 2 0 4 3 -1"
"day[0 5], month[11], year[2005]","Today is November five in the year 2005 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 9], month[1], year[2007]","It is nine January of the year 2007 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 7], month[1], year[2015]","It is January the twenty seventh , 2015 .","-1 -1 2 -1 1 1 4 3 -1"
"day[0 6], month[1], year[2017]","It is January the sixth of the year 2017 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 3], month[6], year[2004]","Today is June thirteen , 2004 .","-1 -1 2 0 4 3 -1"
"day[1 6], month[3], year[2010]","Today is March the sixteenth of the year 2010 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 6], month[8], year[2003]","It is the sixth of August in the year 2003 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 6], month[4], year[2018]","The date is the sixth of April in the year 2018 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 6], month[11], year[2019]","Today is the twenty sixth of November , 2019 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[3 0], month[12], year[2016]","Today is the thirtieth of December in the year 2016 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 0], month[5], year[2016]","The date is May the tenth of the year 2016 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 1], month[9], year[2017]","It is September the eleventh of the year 2017 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 5], month[2], year[2010]","It is twenty five February 2010 .","-1 -1 0 0 2 3 -1"
"day[1 7], month[8], year[2015]","Today is the seventeenth of August in the year 2015 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 4], month[2], year[2004]","The date is twenty four February of the year 2004 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[0 3], month[12], year[2001]","The date is three December of the year 2001 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[2 3], month[9], year[2007]","It is the twenty third of September , 2007 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[3 0], month[10], year[2017]","It is thirty October of the year 2017 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 4], month[9], year[2011]","Today is twenty four September 2011 .","-1 -1 0 0 2 3 -1"
"day[1 2], month[4], year[2005]","It is the twelfth of April in the year 2005 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 2], month[5], year[2012]","Today is May the second of the year 2012 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[3 0], month[2], year[2000]","Today is thirty February 2000 .","-1 -1 0 2 3 -1"
"day[0 8], month[1], year[2001]","The date is January the eighth , 2001 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[0 4], month[9], year[2016]","The date is the fourth of September in the year 2016 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 8], month[1], year[2015]","It is January eighteen in the year 2015 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 6], month[12], year[2011]","Today is December the sixth of the year 2011 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[3 1], month[3], year[2010]","It is March thirty one in the year 2010 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 7], month[1], year[2000]","The date is January the seventeenth of the year 2000 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 9], month[4], year[2018]","It is the nineteenth of April , 2018 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 7], month[7], year[2000]","The date is July the twenty seventh , 2000 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[0 5], month[11], year[2008]","It is five November 2008 .","-1 -1 0 2 3 -1"
"day[2 1], month[8], year[2000]","Today is twenty one August of the year 2000 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[2 3], month[3], year[2006]","It is March twenty three , 2006 .","-1 -1 2 0 0 4 3 -1"
"day[1 2], month[10], year[2005]","It is twelve October 2005 .","-1 -1 0 2 3 -1"
"day[1 9], month[5], year[2019]","It is the nineteenth of May in the year 2019 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 7], month[2], year[2018]","It is the twenty seventh of February in the year 2018 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[1 8], month[1], year[2014]","It is eighteen January of the year 2014 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[3 1], month[9], year[2019]","It is thirty one September 2019 .","-1 -1 0 0 2 3 -1"
"day[2 7], month[6], year[2007]","Today is the twenty seventh of June in the year 2007 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 7], month[8], year[2003]","The date is August the seventh of the year 2003 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 4], month[2], year[2006]","It is twenty four February of the year 2006 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[2 8], month[9], year[2019]","The date is September the twenty eighth of the year 2019 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[3 0], month[3], year[2005]","The date is the thirtieth of March , 2005 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[1 7], month[10], year[2003]","The date is October seventeen , 2003 .","-1 -1 -1 2 0 4 3 -1"
